Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
5392;26/02/2018 - 03:45;81,69;28,665;0;0,94359333;Fora Ponta
5391;26/02/2018 - 03:30;81,47999999;29,71499999;0;0,93947488;Fora Ponta
5390;26/02/2018 - 03:15;79,905;28,455;0;0,94204959;Fora Ponta
5389;26/02/2018 - 03:00;82,425;29,29499999;0;0,94225678;Fora Ponta
5388;26/02/2018 - 02:45;85,365;32,55;0;0,93437845;Fora Ponta
5387;26/02/2018 - 02:30;89,67;32,445;0;0,94033875;Fora Ponta
5386;26/02/2018 - 02:15;89,145;32,97;0;0,93790857;Fora Ponta
5385;26/02/2018 - 02:00;88,62;31,08;0;0,94364899;Fora Ponta
5384;26/02/2018 - 01:45;91,35;34,01999999;0;0,93712356;Fora Ponta
5383;26/02/2018 - 01:30;88,41;34,01999999;0;0,93328845;Fora Ponta
5382;26/02/2018 - 01:15;89,25;33,6;0;0,93587592;Fora Ponta
5381;26/02/2018 - 01:00;90,195;35,175;0;0,93165822;Fora Ponta
5380;26/02/2018 - 00:45;90,615;35,07;0;0,93259156;Fora Ponta
5379;26/02/2018 - 00:30;92,4;33,495;0;0,94013606;Fora Ponta
5378;26/02/2018 - 00:15;93,66;32,97;0;0,94326333;Fora Ponta
5377;26/02/2018 - 00:00;100,8;33,285;0;0,94956976;Fora Ponta
5376;25/02/2018 - 23:45;102,375;36,015;0;0,94332921;Fora Ponta
5375;25/02/2018 - 23:30;99,435;34,44;0;0,94492674;Fora Ponta
5374;25/02/2018 - 23:15;98,7;35,7;0;0,94037622;Fora Ponta
5373;25/02/2018 - 23:00;101,535;35,805;0;0,94308032;Fora Ponta
5372;25/02/2018 - 22:45;102,585;36,22499999;0;0,94293686;Fora Ponta
5371;25/02/2018 - 22:30;101,325;36,75;0;0,94007752;Fora Ponta
5370;25/02/2018 - 22:15;104,895;36,855;0;0,94346013;Fora Ponta
